line_item_id,transaction_id,product_id,promotion_id,quantity,line_item_amount
90,T000017,P0150,PR008,1.0,20.03
91,T000017,P0089,PR002,4.0,92.88
92,T000017,P0088,PR029,3.0,21.42
93,T000017,P0143,,1.0,3.22
94,T000017,P0093,PR025,2.0,
95,T000017,P0145,PR025,4.0,74.72
96,T000017,P0178,PR004,4.0,867.84
97,T000018,P0047,PR021,2.0,35.98
98,T000018,P0070,PR016,1.0,17.96
99,T000018,P0164,PR003,1.0,90.06
100,T000018,P0097,PR021,4.0,125.04
101,T000018,P0061,PR008,5.0,371.6
102,T000018,P0168,PR006,1.0,82.08
103,T000018,P0078,PR019,3.0,74.97
104,T000018,P0176,PR015,3.0,483.9
105,T000019,,,5.0,110.45
106,T000019,P0052,PR026,5.0,494.7
107,T000019,P0117,PR024,5.0,88.2
108,T000020,P0013,,1.0,
109,T000020,P0121,,3.0,58.08
110,T000020,P0032,PR006,1.0,11.98
111,T000020,P0110,PR030,5.0,52.75
112,T000020,P0113,PR006,5.0,255.35
113,T000020,P0152,,4.0,110.72
114,T000020,P0096,PR022,1.0,15.6
115,T000021,P0063,,5.0,382.45
116,T000022,P0139,PR007,5.0,102.75
117,T000023,P0144,,4.0,48.2
118,T000024,P0171,PR019,5.0,126.5
119,T000025,P0144,PR026,3.0,36.15
120,T000025,P0073,,2.0,36.68
121,T000025,P0046,PR013,2.0,195.8
122,T000025,P0171,PR005,3.0,75.9
123,T000026,P0105,PR010,4.0,130.95
124,T000026,P0128,PR005,1.0,34.32
125,T000027,P0160,PR020,-4.0,-121.44
126,T000028,P0176,PR027,2.0,322.6
127,T000028,P0012,PR014,1.0,187.65
128,T000028,P0118,PR007,4.0,88.36
129,T000028,P0094,PR030,3.0,105.81
130,T000028,P0128,PR022,1.0,34.32
131,T000029,P0062,PR005,4.0,282.72
132,T000029,P0109,,1.0,30.96
133,T000029,P0147,PR028,5.0,48.5
134,T000029,P0009,PR026,1.0,45.77
135,T000030,P0027,,1.0,140.04
136,T000030,P0068,PR026,2.0,137.6
137,T000031,P0101,PR025,4.0,193.96
138,T000031,P0055,PR008,1.0,62.52
139,T000031,P0088,PR018,5.0,35.1
140,T000031,P0007,PR002,4.0,112.44
141,T000031,P0008,,4.0,
142,T000031,P0133,PR007,2.0,79.72
143,T000032,P0093,,3.0,138.3
144,T000032,P0193,PR015,2.0,43.16
145,T000032,P0061,,2.0,148.64
146,T000032,P0125,,3.0,80.34
147,T000033,P0066,PR008,3.0,96.27
148,T000033,P0007,PR004,1.0,28.11
149,T000033,P0013,PR002,2.0,
150,T000034,P0195,,1.0,288.49
151,T000034,P0102,PR012,3.0,166.11
152,T000034,P0170,PR029,2.0,142.54
153,T000034,P0016,PR016,3.0,529.05
154,T000034,P0185,,5.0,564.75
155,T000034,P0098,PR007,5.0,110.5
156,T000034,P0185,,1.0,112.95
157,T000035,P0079,PR003,2.0,96.88
158,T000035,P0106,PR027,3.0,126.42
159,T000035,P0183,PR019,2.0,563.24
160,T000036,P0043,PR023,3.0,123.3
161,T000036,P0008,PR026,5.0,
162,T000036,P0192,PR010,3.0,651.9
163,T000036,P0112,PR021,0.0,0.0
164,T000036,P0088,PR001,2.0,14.28
165,T000036,P0003,PR026,3.0,105.87
166,T000036,P0122,PR014,1.0,30.09
167,T000037,P0081,PR023,4.0,177.72
168,T000037,P0057,PR019,5.0,266.0
169,T000037,P0107,PR005,5.0,324.35
170,T000037,P0079,PR006,2.0,96.88
171,T000037,P0143,,2.0,6.44
172,T000038,P0065,PR029,,230.88
173,T000038,P0120,PR019,2.0,58.16
174,T000038,P0038,PR010,1.0,55.26
175,T000039,P0037,PR025,3.0,303.63
176,T000039,P0169,,3.0,131.04
177,T000039,P0014,,-3.0,-50.37
178,T000039,P0042,PR019,1.0,52.72
179,T000039,P0019,PR018,-5.0,-644.35
180,T000039,P0186,,1.0,222.04
181,T000039,P0067,PR027,4.0,140.48
182,T000039,P0023,,5.0,94.95
183,T000040,P0125,,4.0,107.12
184,T000040,P0135,,1.0,28.53
185,T000040,P0053,PR018,3.0,117.09
186,T000040,P0042,PR019,1.0,
187,T000041,P0087,PR007,-3.0,-47.13
188,T000041,P0170,PR022,2.0,142.54
189,T000042,P0106,PR006,1.0,42.14
190,T000042,P0072,PR023,5.0,46.85
191,T000042,P0136,PR025,5.0,48.45
192,T000042,P0031,PR001,2.0,147.04
193,T000042,P0046,PR017,2.0,195.8
194,T000042,P0098,PR001,1.0,22.1
195,T000042,P0103,PR014,1.0,16.05
196,T000043,P0143,PR021,4.0,12.88
197,T000043,P0124,PR016,4.0,89.56
198,T000043,P0172,PR026,5.0,182.3
199,T000043,P0112,PR001,4.0,137.28
200,T000043,P0015,PR026,4.0,707.28
201,T000043,P0091,PR030,4.0,125.24
202,T000044,P0179,PR026,4.0,591.56
203,T000044,P0189,PR027,2.0,233.36
204,T000045,P0115,PR030,0.0,0.0
205,T000045,P0076,PR018,1.0,76.87
206,T000045,P0014,PR006,5.0,83.95
207,T000046,P0083,PR011,3.0,43.26
208,T000046,P0172,,5.0,182.3
209,T000046,P0099,PR028,4.0,135.6
210,T000046,P0195,PR004,2.0,575.43
211,T000046,P0179,PR024,4.0,591.56
212,T000046,P0121,PR019,5.0,96.8
213,T000047,P0122,,4.0,
214,T000047,P0022,PR021,4.0,129.12
215,T000047,P0036,PR008,1.0,141.97
216,T000047,P0074,PR019,1.0,33.71
217,T000047,P0139,PR003,4.0,82.2
218,T000047,P0091,PR028,1.0,31.31
219,T000048,P0040,PR017,2.0,147.9
220,T000048,P0152,,2.0,55.36
221,T000048,P0157,,2.0,101.24
222,,P0057,PR008,1.0,53.2
223,T000048,P0182,,3.0,500.85
224,T000048,P0146,PR018,4.0,23.76
225,T000048,P0077,PR002,1.0,57.66
226,T000048,P0131,PR013,1.0,36.16
227,T000049,P0119,PR020,1.0,20.57
228,T000050,P0107,,2.0,129.74
229,T000050,P0036,PR010,5.0,709.85
230,T000050,P0138,PR029,5.0,23.15
231,T000050,P0192,PR021,4.0,869.2
232,T000051,P0143,PR001,3.0,9.66
233,T000051,P0128,PR012,1.0,34.32
234,T000051,P0132,PR007,1.0,34.4
235,T000051,P0181,PR018,2.0,370.82
236,T000051,P0163,,4.0,249.76
237,T000052,P0016,PR023,4.0,705.4
238,T000052,P0080,,4.0,190.4
239,T000052,P0086,PR018,2.0,53.26
240,T000052,P0147,,4.0,38.8
241,T000052,P0178,PR012,4.0,867.84
242,T000053,P0080,,4.0,190.4
243,T000054,P0155,PR008,1.0,115.97
244,T000054,P0089,PR014,2.0,46.44
245,T000054,P0087,PR012,3.0,47.13
246,T000054,P0145,,3.0,56.04
247,T000055,P0190,PR021,4.0,83.57
248,T000055,P0150,PR002,5.0,100.15
249,T000055,P0051,PR022,,80.4
250,T000056,P0020,PR021,3.0,96.84
251,T000056,P0053,,5.0,195.15
252,T000056,P0108,PR003,4.0,175.0
253,T000057,P0086,PR008,3.0,79.89
254,T000058,P0010,PR006,5.0,576.55
255,T000058,P0103,PR003,2.0,32.1
256,T000058,P0151,PR023,5.0,118.5
257,T000058,P0071,,2.0,78.33
258,T000058,P0109,PR017,5.0,188.25
259,T000059,P0080,,3.0,142.8
260,T000059,P0187,,4.0,1159.52
261,T000059,P0016,,-3.0,-634.53
262,T000059,P0120,PR027,3.0,87.24
263,T000059,P0144,PR018,0.0,0.0
264,T000060,,PR014,2.0,94.08
265,T000060,P0182,PR017,3.0,500.85
266,T000060,P0092,,2.0,85.92
267,T000060,P0006,PR023,4.0,618.88
268,T000060,P0105,PR013,1.0,34.5
269,T000060,P0135,PR007,5.0,142.65
270,T000060,P0001,PR022,3.0,564.84
271,T000060,P0103,PR030,4.0,64.2
272,T000061,P0107,PR007,3.0,221.66
273,T000061,P0141,PR013,4.0,73.24
274,T000061,P0039,PR029,1.0,146.24
275,T000062,P0016,,1.0,176.35
276,T000063,P0016,PR029,5.0,881.75
277,T000064,P0130,PR013,5.0,61.7
278,T000064,P0156,PR025,4.0,44.12
279,T000064,P0076,PR017,2.0,170.96
280,T000064,P0019,,,644.35
281,T000065,P0116,PR012,3.0,65.37
282,T000065,P0136,,1.0,9.69
283,T000065,P0048,PR024,2.0,166.7
284,T000065,P0171,PR011,1.0,25.3
285,T000065,P0142,PR022,3.0,62.1
286,T000065,P0100,PR029,4.0,11140.0
287,T000065,P0063,PR021,2.0,152.98
288,T000065,P0090,PR015,5.0,65.65
289,T000066,P0157,,4.0,202.48
290,T000066,P0040,PR012,5.0,369.75
291,T000066,P0042,PR024,5.0,263.6
292,T000066,P0069,PR022,4.0,159.92
293,T000066,P0180,PR024,1.0,194.11
294,T000067,P0112,PR022,5.0,171.6
295,T000067,P0090,PR025,,13.13
296,T000068,P0074,PR004,4.0,134.84
297,T000068,P0016,,2.0,352.7
298,T000068,P0062,PR030,1.0,70.68
299,T000068,P0140,PR023,4.0,67.88
300,T000068,P0026,,2.0,231.18
301,T000068,P0123,PR006,4.0,135.72
302,T000068,P0159,PR021,2.0,128.04
303,T000068,P0153,PR018,1.0,24.77
304,T000069,P0046,PR008,5.0,489.5
305,T000069,P0148,PR014,1.0,13.82
306,T000069,P0019,PR016,-5.0,-644.35
307,T000069,P0071,PR018,1.0,37.87
308,T000069,P0120,PR015,-5.0,-145.4
309,T000069,P0184,PR010,3.0,159.72
310,T000070,P0023,PR019,3.0,56.97
311,T000070,P0115,,3.0,97.59
312,T000070,P0164,,3.0,270.18
313,T000070,P0046,,5.0,489.5
314,T000070,P0138,PR009,5.0,23.15
315,T000070,P0186,PR023,1.0,222.04
316,T000070,P0021,PR007,1.0,40.64
317,T000070,P0171,,1.0,25.3
318,T000071,P0084,,1.0,18.47
319,T000071,P0114,PR026,1.0,54.38
320,T000071,P0158,PR015,1.0,90.08
321,T000071,P0099,,2.0,67.8
322,T000071,P0064,PR015,1.0,30.35
323,T000071,P0051,PR006,4.0,160.8
324,T000071,P0141,PR011,1.0,18.31
325,T000071,P0090,,4.0,52.22
326,T000072,P0094,PR025,1.0,35.27
327,T000073,P0055,,1.0,62.52
328,T000074,P0151,PR009,4.0,94.8
329,T000074,P0128,PR022,1.0,34.32
330,T000074,P0085,PR020,1.0,30.66
331,T000074,P0192,PR002,1.0,217.3
332,T000074,,PR028,5.0,1449.4
333,T000074,P0135,,4.0,120.75
334,T000074,P0146,PR028,4.0,23.76
335,T000075,P0143,PR014,2.0,6.44
336,T000075,P0032,PR011,2.0,23.96
337,T000075,P0129,,4.0,
338,T000075,P0101,PR014,4.0,193.96
339,T000075,P0009,,4.0,
340,T000075,P0165,PR017,1.0,64.45
341,T000075,P0031,,3.0,220.56
342,T000075,P0165,,3.0,193.35
343,T000076,P0015,PR005,1.0,176.82
344,,P0148,PR029,4.0,55.28
345,T000076,P0009,PR027,2.0,91.54
346,T000076,P0018,,1.0,151.35
347,T000076,P0011,,3.0,
348,T000077,P0119,PR021,2.0,41.14
349,T000077,P0135,PR008,,114.12
350,T000077,P0013,PR012,2.0,
351,T000077,P0073,PR006,1.0,18.34
352,T000077,P0083,PR014,1.0,14.42
353,T000077,P0060,PR028,5.0,59.7
354,T000077,P0016,PR020,3.0,529.05
355,T000078,P0075,,2.0,58.26
356,T000078,P0008,,2.0,52.42
357,T000078,P0014,PR018,2.0,33.58
358,T000078,P0042,PR012,4.0,210.88
359,T000078,P0039,,,731.2
360,T000078,P0195,,1.0,288.49
361,T000078,P0048,PR005,2.0,166.7
362,T000078,P0010,PR025,1.0,115.31
363,T000079,P0146,PR001,5.0,29.7
364,T000079,P0103,PR011,5.0,80.25
365,T000079,P0032,PR006,3.0,35.94
366,T000079,P0184,PR003,4.0,212.96
367,T000079,P0162,PR001,2.0,168.06
368,T000079,P0138,,3.0,13.89
369,T000079,P0047,PR016,2.0,35.98
370,T000079,P0003,PR011,1.0,35.29
371,T000080,P0124,PR019,1.0,22.39
372,T000080,P0081,PR003,3.0,133.29
373,T000080,P0099,PR030,2.0,67.8
374,T000080,P0031,PR011,1.0,73.52
375,T000080,P0084,PR027,1.0,18.47
376,T000080,P0149,PR022,5.0,66.65
377,T000080,P0142,PR022,1.0,20.7
378,T000081,P0048,PR021,5.0,416.75
379,T000081,P0062,PR009,1.0,70.68
380,T000081,P0035,PR024,3.0,141.12
381,T000081,P0112,PR009,1.0,34.32
382,T000081,P0006,PR015,3.0,464.16
383,T000081,P0104,,3.0,72.63
384,T000082,P0002,PR023,2.0,239.86
385,T000082,P0021,PR007,3.0,121.92
386,T000082,P0039,PR029,2.0,292.48
387,T000082,P0105,PR016,4.0,138.0
388,T000082,P0039,PR021,3.0,438.72
389,T000082,P0146,,0.0,0.0
390,T000082,P0006,,3.0,464.16
391,T000083,P0019,,3.0,386.61
392,T000083,P0057,PR025,3.0,159.6
393,T000083,P0005,PR023,5.0,887.8
394,T000083,P0054,PR029,3.0,145.53
395,T000084,P0022,PR022,4.0,129.12
396,T000084,P0073,PR008,3.0,55.02
397,T000084,P0090,PR017,-3.0,-39.39
398,T000084,P0017,PR007,0.0,0.0
399,T000085,P0085,PR007,1.0,30.66
400,T000085,P0163,,4.0,249.76
401,T000085,P0007,PR023,4.0,112.44
402,T000085,P0178,,1.0,216.96
403,T000085,P0078,PR030,2.0,49.98
404,T000085,P0188,PR006,5.0,1069.5
405,T000085,P0181,PR005,1.0,185.41
406,T000085,P0168,PR011,3.0,246.24
407,T000086,P0042,,-2.0,-105.44
408,T000086,P0021,PR014,4.0,162.56
409,T000087,P0020,,2.0,64.56
410,T000087,P0086,,4.0,106.52
411,T000087,P0178,,3.0,650.88
412,T000087,P0046,PR024,3.0,293.7
413,T000087,P0188,PR023,1.0,213.9
414,T000087,P0064,PR022,1.0,30.35
415,T000087,P0132,PR010,5.0,172.0
416,T000087,P0070,PR025,5.0,89.8
417,T000088,P0054,,,145.53
418,T000088,,,1.0,222.04
419,T000088,P0035,PR025,3.0,141.12
420,T000088,P0145,PR011,1.0,18.68
421,T000088,P0135,PR008,1.0,28.53
422,T000088,P0151,PR030,5.0,118.5
423,T000088,P0128,PR019,1.0,34.32
424,T000089,P0006,PR013,,154.72
425,T000089,P0156,,5.0,55.15
426,T000089,P0106,PR007,1.0,42.14
427,T000090,P0083,PR001,5.0,72.1
428,T000090,P0171,PR026,3.0,75.9
429,T000090,P0115,,3.0,97.59
430,T000090,P0048,PR013,5.0,416.75
431,T000090,P0158,PR020,2.0,180.16
432,T000090,P0016,PR028,2.0,352.7
433,T000091,P0023,,1.0,18.99
434,T000091,P0186,PR029,,
435,T000091,P0181,PR022,3.0,556.23
436,T000092,P0131,,3.0,108.48
437,T000092,P0042,PR024,4.0,210.88
438,T000092,P0095,PR016,5.0,
439,T000092,P0174,PR008,5.0,768.35
440,T000092,P0131,,4.0,144.64
441,T000092,P0133,PR018,3.0,119.58
442,T000092,P0147,PR015,3.0,29.1
443,T000092,P0181,PR022,,-370.82
444,T000093,P0033,,2.0,40.74
445,T000093,P0161,PR012,5.0,184.5
446,T000093,P0142,PR030,2.0,41.4
447,T000093,P0002,PR013,3.0,359.79
448,T000093,P0157,PR015,1.0,50.62
449,T000093,P0014,PR007,3.0,50.37
450,T000093,P0039,PR028,3.0,438.72
451,T000094,P0187,PR006,3.0,869.64
452,T000094,P0097,PR014,1.0,31.26
453,T000094,P0171,PR024,3.0,75.9
454,T000094,P0145,PR006,,-56.04
455,T000094,P0056,PR026,4.0,54.68
456,T000094,P0076,PR021,3.0,230.61
457,T000094,P0074,,5.0,168.55
458,T000095,P0064,PR030,2.0,60.7
459,T000095,P0040,PR008,1.0,73.95
460,T000096,P0018,PR018,4.0,605.4
461,T000096,P0008,,2.0,52.42
462,T000096,P0106,,3.0,126.42
463,T000096,P0035,,5.0,235.2
464,T000097,P0095,PR002,1.0,
465,T000097,P0118,PR012,4.0,88.36
466,T000097,P0088,PR009,0.0,0.0
467,T000098,P0173,PR007,4.0,434.36
468,T000098,P0040,PR029,4.0,295.8
469,T000098,P0193,PR013,1.0,24.33
470,T000098,P0018,PR018,4.0,605.4
471,T000098,P0096,PR004,5.0,78.0
472,T000099,P0104,,2.0,48.42
473,T000099,P0178,PR005,3.0,650.88
474,T000099,P0168,PR001,1.0,82.08
475,,P0096,,2.0,31.2
476,T000099,P0149,PR019,3.0,39.99
477,T000099,P0087,PR008,5.0,78.55
478,T000099,P0193,PR023,3.0,64.74
479,T000099,P0185,PR023,2.0,225.9
480,T000100,P0139,PR007,4.0,82.2
481,T000100,P0196,PR025,3.0,876.18
482,T000101,P0017,,1.0,36.34
483,T000101,P0084,,4.0,73.88
484,T000101,P0149,PR029,5.0,66.65
485,T000101,P0078,PR010,1.0,24.99
486,T000101,P0071,,2.0,75.74
487,,P0017,PR027,2.0,72.68
488,T000101,P0051,PR021,3.0,120.6
489,T000101,P0143,,3.0,9.66
490,T000102,P0067,,5.0,175.6
491,T000102,P0136,PR005,0.0,0.0
492,T000102,P0051,PR022,1.0,40.2
493,T000102,P0123,PR030,1.0,33.93
494,T000102,P0148,PR001,3.0,41.46
495,T000102,P0033,PR008,5.0,101.85
496,T000102,P0190,,2.0,47.16
497,T000103,P0154,PR002,2.0,162.54
498,T000103,P0112,PR025,4.0,137.28
499,T000103,P0020,,4.0,129.12
500,T000103,P0139,,1.0,20.55
501,T000103,P0049,PR025,3.0,120.06
502,T000103,P0064,,2.0,60.7
503,T000104,P0016,PR010,2.0,352.7
504,T000104,P0042,PR030,2.0,105.44
505,T000104,P0050,PR009,4.0,34.16
506,T000104,P0164,PR021,2.0,180.12
507,T000104,P0181,,4.0,741.64
508,T000104,P0196,,5.0,1460.3
509,T000104,P0052,PR017,1.0,98.94
510,T000104,P0054,,1.0,57.81
511,T000105,P0155,PR010,5.0,484.35
512,T000105,P0152,PR004,2.0,55.36
513,T000106,P0009,PR001,4.0,183.08
514,T000106,P0058,PR025,4.0,88.56
515,T000106,P0048,,1.0,83.35
516,T000106,P0105,PR003,4.0,138.0
517,T000106,P0185,,1.0,112.95
518,T000107,P0080,PR001,1.0,47.6
519,T000107,P0067,,1.0,35.12
520,T000108,P0121,PR022,3.0,58.08
521,T000108,P0035,PR020,5.0,235.2
522,T000108,P0035,PR003,2.0,94.08
523,T000109,P0073,PR029,1.0,18.34
524,T000109,P0047,PR025,2.0,35.98
525,T000109,P0159,PR029,5.0,320.1
526,T000109,P0059,PR019,2.0,123.28
527,T000109,P0093,PR006,2.0,92.2
528,T000109,P0117,PR023,3.0,52.92
529,T000109,P0184,,1.0,53.24
530,T000109,P0194,PR027,3.0,409.38
531,T000110,P0146,,4.0,23.76
532,T000110,P0025,PR011,1.0,131.36
533,T000110,P0160,,-1.0,-30.36
534,T000110,P0172,PR017,3.0,109.38
535,T000110,P0013,PR019,2.0,
536,T000110,P0010,PR014,2.0,230.62
537,T000110,P0108,PR010,2.0,87.5
538,T000110,P0051,PR008,4.0,160.8
539,T000111,P0149,PR005,5.0,66.65
540,T000111,P0177,PR029,5.0,1073.25
541,T000111,P0030,PR008,4.0,87.96
542,T000111,P0044,PR007,5.0,179.1
543,T000112,P0055,PR030,3.0,187.56
544,T000112,P0052,,5.0,494.7
545,T000112,P0173,PR015,4.0,
546,T000112,P0077,PR012,4.0,230.64
547,T000113,P0070,,3.0,53.88
548,T000113,P0093,PR022,-2.0,-92.2
549,T000113,P0071,PR010,1.0,37.87
550,T000113,P0057,PR025,1.0,53.2
551,T000113,P0042,,-2.0,-105.44
552,,P0014,PR017,4.0,67.16
553,T000114,P0195,PR003,2.0,576.98
554,T000114,P0078,PR021,4.0,99.96
555,T000114,P0141,,3.0,54.93
556,T000114,P0129,PR012,2.0,60.1
557,T000115,P0077,PR005,1.0,57.66
558,T000115,P0147,PR021,5.0,48.5
559,T000116,P0030,PR012,4.0,87.96
560,T000116,P0115,PR005,3.0,97.59
561,T000116,P0045,PR008,-2.0,-98.4
562,T000116,P0096,PR007,2.0,31.2
563,T000116,P0034,PR008,5.0,
564,T000116,P0014,PR012,1.0,16.79
565,T000117,P0127,,2.0,42.6
566,T000117,P0008,PR009,2.0,52.42
567,T000117,P0045,PR024,3.0,147.6
568,T000118,P0135,,5.0,142.65
569,T000118,P0135,PR025,3.0,85.59
570,T000118,P0017,PR009,4.0,145.36
571,T000118,P0126,PR012,2.0,56.68
572,T000118,P0047,,3.0,53.97
573,T000118,P0135,,3.0,85.59
574,T000118,P0086,PR009,2.0,
575,T000119,P0065,,4.0,307.84
576,T000119,P0141,PR008,-5.0,-91.55
577,T000119,P0114,PR008,5.0,271.9
578,T000119,P0046,,5.0,489.5
579,T000119,P0148,PR018,5.0,69.1
580,T000119,P0176,PR003,5.0,806.5
581,T000119,P0084,PR012,1.0,18.47
582,T000119,P0153,,3.0,74.31
583,T000120,P0082,PR027,1.0,11.83
584,T000121,P0143,PR029,3.0,9.66
585,T000121,P0118,,4.0,88.36
586,T000121,P0145,PR023,3.0,56.04
587,T000121,P0189,,0.0,0.0
588,T000121,P0042,PR014,4.0,210.88
589,T000121,P0031,,3.0,220.56
590,T000121,P0075,PR021,4.0,116.52
591,T000121,P0117,PR024,4.0,70.56
592,T000122,P0025,PR015,,262.72
593,T000122,P0082,PR012,3.0,35.49
594,T000122,P0013,PR021,1.0,
595,T000122,P0083,,4.0,57.68
596,T000122,P0006,,5.0,773.6
597,T000122,P0110,PR012,2.0,21.1
598,T000122,P0142,PR004,2.0,41.4
599,T000123,P0036,,2.0,283.94
600,T000123,P0120,PR003,5.0,145.4
601,T000123,P0156,PR012,-2.0,-22.06
602,T000123,P0060,PR023,5.0,59.7
603,T000123,P0194,PR008,5.0,682.3
604,T000124,P0014,PR030,2.0,33.58
605,T000124,P0186,PR014,2.0,444.08
606,T000125,P0141,PR013,4.0,73.24
607,T000125,P0179,,2.0,295.78
608,T000125,P0054,,3.0,145.53
609,T000125,P0049,PR012,1.0,40.02
610,T000126,P0081,PR019,4.0,177.72
611,T000126,P0119,PR020,0.0,0.0
612,T000127,P0134,PR028,3.0,69.78
613,T000127,P0020,PR011,5.0,161.4
614,T000127,P0186,PR012,4.0,888.16
615,T000127,P0052,PR024,2.0,197.88
616,T000127,P0018,PR001,3.0,454.05
617,T000127,P0194,PR018,1.0,
618,T000127,P0149,PR012,1.0,13.33
619,T000128,P0120,PR014,1.0,29.08
620,T000128,P0164,PR010,2.0,180.12
621,T000128,P0061,PR005,3.0,222.96
622,T000128,P0079,PR013,1.0,48.44
623,T000128,P0170,PR026,5.0,356.35
624,T000129,P0152,PR030,3.0,
625,T000129,P0049,,2.0,80.04
626,T000129,P0176,PR002,4.0,645.2
627,T000129,P0139,PR010,5.0,102.75
628,T000129,P0175,PR029,4.0,131.2
629,T000129,P0070,PR021,3.0,53.88
630,T000130,P0125,PR005,5.0,133.9
631,T000130,P0060,,1.0,11.94
632,T000130,P0185,PR012,3.0,338.85
633,T000130,P0086,PR017,2.0,53.26
634,T000131,P0150,PR003,3.0,60.09
635,T000131,P0145,,5.0,93.4
636,T000131,P0192,PR026,5.0,1086.5
637,T000131,P0153,,4.0,99.08
638,T000131,P0020,,4.0,129.12
639,T000131,P0029,PR025,5.0,646.2
640,T000132,P0018,PR030,4.0,605.4
641,T000132,P0138,,5.0,23.15
642,T000132,P0011,PR012,1.0,
643,T000132,P0013,PR007,4.0,
644,,P0011,PR007,1.0,
645,T000132,P0035,PR017,3.0,141.12
646,T000133,P0056,,3.0,41.01
647,T000133,P0084,,4.0,73.88
648,T000133,P0066,PR010,5.0,
649,T000133,P0173,PR014,1.0,108.59
650,T000133,P0151,,4.0,94.8
651,T000133,P0001,PR004,5.0,941.4
652,T000133,P0055,PR011,4.0,250.08
653,T000134,P0041,PR011,2.0,73.16
654,T000134,P0088,PR026,4.0,28.56
655,T000134,P0153,PR026,2.0,49.54
656,T000134,P0055,PR013,3.0,187.56
657,T000134,P0090,PR029,,52.52
658,T000134,P0059,PR006,3.0,184.92
659,T000134,P0081,PR013,2.0,88.86
660,T000135,P0145,PR021,1.0,18.68
