customer_id,recency_days,frequency_30d,frequency_60d,frequency_90d,monetary_30d,monetary_60d,monetary_90d,total_frequency,total_monetary,avg_order_value,num_stores_visited,avg_days_between_purchases,loyalty_status,total_loyalty_points,segment_id,customer_tenure_days,num_categories,top_category,is_weekend_shopper,future_spend_30d,loyalty_status_encoded,segment_id_encoded,top_category_encoded
C02775,322,0.0,0.0,0.0,0.0,0.0,0.0,4,1049.77,262.4425,4,185.33333333333334,Silver,928.0,AR,1686.0,5.0,Grocery,0,0.0,3,0,5
C04665,97,0.0,0.0,0.0,0.0,0.0,0.0,16,3901.0,243.8125,10,49.53333333333333,Silver,1347.0,AR,2519.0,11.0,Apparel,0,0.0,3,0,0
C02488,116,0.0,0.0,0.0,0.0,0.0,0.0,12,3030.2599999999998,252.52166666666665,8,74.54545454545455,Bronze,434.0,HC,2224.0,11.0,Apparel,0,0.0,0,1,0
C01619,40,0.0,1.0,1.0,0.0,461.83,461.83,3,1045.76,348.58666666666664,3,209.5,Platinum,15691.0,AR,2755.0,8.0,Automotive,1,421.95,2,0,1
C03660,16,1.0,2.0,2.0,139.35,165.91,165.91,9,2030.09,225.56555555555553,8,103.75,Bronze,195.0,LP,2303.0,11.0,Beauty,0,0.0,0,3,2
C00196,12,1.0,1.0,1.0,114.15,114.15,114.15,2,494.44000000000005,247.22000000000003,2,764.0,Gold,3679.0,HC,1427.0,8.0,Home & Garden,0,0.0,1,1,6
C02351,184,0.0,0.0,0.0,0.0,0.0,0.0,4,711.97,177.9925,4,164.33333333333334,Silver,1488.0,LP,2523.0,8.0,Books,0,0.0,3,3,3
C01660,445,0.0,0.0,0.0,0.0,0.0,0.0,4,1350.65,337.6625,4,165.33333333333334,Gold,0.0,AR,2554.0,8.0,Grocery,0,312.71,1,0,5
C04607,142,0.0,0.0,0.0,0.0,0.0,0.0,11,3170.86,288.26,8,77.0,Silver,1195.0,AR,2068.0,10.0,Home & Garden,0,531.82,3,0,6
C00064,136,0.0,0.0,0.0,0.0,0.0,0.0,4,1170.44,292.61,4,242.66666666666666,Silver,1163.0,NR,2618.0,9.0,Grocery,0,0.0,3,4,5
C02745,54,0.0,1.0,1.0,0.0,11.61,11.61,7,1693.47,241.92428571428573,6,144.16666666666666,Silver,1096.0,NR,1723.0,10.0,Automotive,1,0.0,3,4,1
C03686,201,0.0,0.0,0.0,0.0,0.0,0.0,2,289.25,144.625,2,687.0,Silver,622.0,HS,1588.0,3.0,Beauty,0,0.0,3,2,2
C02409,11,2.0,3.0,4.0,709.35,1031.77,1304.02,20,5501.77,275.0885,12,38.78947368421053,Gold,4835.0,NR,2231.0,11.0,Home & Garden,0,347.08,1,4,6
C00438,2,1.0,1.0,1.0,342.41,342.41,342.41,8,2032.98,254.1225,8,103.57142857142857,Gold,2415.0,AR,1446.0,10.0,Apparel,0,0.0,1,0,0
C02556,83,0.0,0.0,1.0,0.0,0.0,54.62,13,2825.78,217.36769230769232,8,68.41666666666667,Bronze,249.0,HS,2084.0,10.0,Books,0,0.0,0,2,3
C03036,156,0.0,0.0,0.0,0.0,0.0,0.0,4,1192.63,298.1575,4,135.66666666666666,Silver,0.0,NR,1404.0,8.0,Beauty,0,0.0,3,4,2
C00390,21,1.0,1.0,2.0,36.25,36.25,75.03999999999999,12,2327.07,193.9225,8,61.72727272727273,Silver,1067.0,AR,2021.0,10.0,Electronics,0,0.0,3,0,4
C00519,45,0.0,1.0,1.0,0.0,425.41,425.41,26,7960.26,306.1638461538462,13,34.92,Gold,4236.0,NR,2021.0,11.0,Apparel,0,0.0,1,4,0
C04176,68,0.0,0.0,1.0,0.0,0.0,194.19,23,5195.65,225.8978260869565,12,38.31818181818182,Gold,2678.0,LP,1541.0,11.0,Books,0,396.53999999999996,1,3,3
C01184,64,0.0,0.0,2.0,0.0,0.0,274.19,13,3234.59,248.8146153846154,10,71.08333333333333,Bronze,3469.0,HC,365.0,11.0,Sports,0,0.0,0,1,8
C02499,101,0.0,0.0,0.0,0.0,0.0,0.0,19,5626.86,296.1505263157895,10,42.888888888888886,Silver,1881.0,HS,1382.0,11.0,Automotive,0,388.6,3,2,1
C03823,68,0.0,0.0,1.0,0.0,0.0,493.31,9,3120.39,346.71,7,96.875,Bronze,4.0,AR,1756.0,11.0,Beauty,0,0.0,0,0,2
C02849,49,0.0,1.0,1.0,0.0,15.91,15.91,4,571.55,142.8875,4,284.0,Bronze,494.0,NR,2294.0,4.0,Beauty,0,0.0,0,4,2
C00569,8,2.0,3.0,3.0,616.4200000000001,633.0,633.0,16,4211.46,263.21625,9,59.666666666666664,Bronze,81.0,NR,365.0,11.0,Jewelry,0,0.0,0,4,7
C00194,326,0.0,0.0,0.0,0.0,0.0,0.0,3,965.51,321.83666666666664,3,284.0,Gold,3011.0,LP,1760.0,10.0,Beauty,0,0.0,1,3,2
C00266,2,2.0,2.0,2.0,445.5,445.5,445.5,8,2185.22,273.1525,6,123.71428571428571,Bronze,132.0,LP,2307.0,10.0,Books,0,0.0,0,3,3
C04161,483,0.0,0.0,0.0,0.0,0.0,0.0,2,283.85,141.925,2,347.0,Bronze,100.0,NR,2018.0,6.0,Electronics,0,0.0,0,4,4
C00560,209,0.0,0.0,0.0,0.0,0.0,0.0,6,1954.23,325.705,5,80.6,Bronze,0.0,HC,2027.0,11.0,Sports,0,0.0,0,1,8
C00241,10,2.0,2.0,3.0,750.62,750.62,1247.92,16,4996.56,312.285,10,48.666666666666664,Bronze,380.0,NR,1996.0,10.0,Automotive,0,162.47,0,4,1
C02159,29,1.0,1.0,1.0,464.98,464.98,464.98,1,464.98,464.98,1,132.1,Silver,1895.0,AR,1689.0,4.0,Apparel,0,0.0,3,0,0
C04216,102,0.0,0.0,0.0,0.0,0.0,0.0,7,2076.18,296.59714285714284,6,134.33333333333334,Silver,1053.0,HC,1630.0,10.0,Apparel,0,0.0,3,1,0
C01302,150,0.0,0.0,0.0,0.0,0.0,0.0,15,3001.4700000000003,200.098,9,50.92857142857143,Bronze,76.0,AR,2034.0,11.0,Apparel,0,0.0,0,0,0
C00213,93,0.0,0.0,0.0,0.0,0.0,0.0,5,1817.17,363.434,4,119.75,Silver,784.0,HC,2027.0,9.0,Home & Garden,0,0.0,3,1,6
C02210,17,1.0,1.0,2.0,472.47,472.47,502.52000000000004,13,3104.51,238.80846153846156,10,57.166666666666664,Bronze,389.0,NR,2095.0,11.0,Electronics,0,0.0,0,4,4
C02854,180,0.0,0.0,0.0,0.0,0.0,0.0,7,2229.65,318.5214285714286,6,123.33333333333333,Bronze,389.0,HS,2482.0,10.0,Sports,0,0.0,0,2,8
C01639,24,1.0,2.0,3.0,433.3,727.79,1192.08,17,4725.57,277.9747058823529,11,55.5625,Bronze,209.0,LP,1396.0,11.0,Jewelry,1,193.57,0,3,7
C01554,29,1.0,2.0,3.0,379.74,684.14,764.8399999999999,11,3057.8,277.9818181818182,7,71.1,Bronze,152.0,HC,2037.0,10.0,Apparel,0,0.0,0,1,0
C01810,59,0.0,1.0,1.0,0.0,364.92,364.92,2,690.63,345.315,2,76.0,Bronze,166.0,NR,1756.0,4.0,Sports,0,0.0,0,4,8
C00495,127,0.0,0.0,0.0,0.0,0.0,0.0,5,895.03,179.006,4,200.75,Silver,919.0,HS,1779.0,10.0,Home & Garden,0,0.0,3,2,6
C03807,477,0.0,0.0,0.0,0.0,0.0,0.0,3,656.4000000000001,218.80000000000004,3,141.5,Bronze,163.0,AR,1593.0,8.0,Sports,0,0.0,0,0,8
C04831,131,0.0,0.0,0.0,0.0,0.0,0.0,5,946.39,189.278,4,199.75,Silver,912.0,NR,2336.0,9.0,Apparel,1,330.87,3,4,0
C04322,34,0.0,1.0,1.0,0.0,240.79,240.79,11,3273.59,297.59909090909093,8,81.3,Silver,892.0,HS,1518.0,11.0,Sports,0,0.0,3,2,8
C03476,49,0.0,1.0,2.0,0.0,388.66,769.71,7,2241.33,320.19,6,99.0,Bronze,233.0,LP,2714.0,10.0,Automotive,0,0.0,0,3,1
C03125,136,0.0,0.0,0.0,0.0,0.0,0.0,3,508.05999999999995,169.35333333333332,3,274.0,Platinum,5418.0,LP,2398.0,8.0,Beauty,0,0.0,2,3,2
C02244,19,1.0,2.0,7.0,381.65,583.31,2256.3,37,9286.01,250.97324324324325,13,24.916666666666668,Bronze,435.0,AR,1703.0,11.0,Books,0,297.93,0,0,3
C02388,332,0.0,0.0,0.0,0.0,0.0,0.0,7,1547.67,221.0957142857143,6,100.16666666666667,Bronze,375.0,NR,2538.0,11.0,Automotive,1,0.0,0,4,1
C03768,154,0.0,0.0,0.0,0.0,0.0,0.0,5,1288.99,257.798,5,164.25,Silver,650.0,LP,1354.0,10.0,Apparel,0,127.02,3,3,0
C01566,21,1.0,1.0,1.0,248.06,248.06,248.06,5,1697.21,339.442,4,199.75,Silver,0.0,HS,1343.0,9.0,Beauty,0,0.0,3,2,2
C04626,240,0.0,0.0,0.0,0.0,0.0,0.0,5,974.31,194.862,4,129.0,Platinum,12134.0,HS,2789.0,8.0,Electronics,0,0.0,2,2,4
C00280,84,0.0,0.0,1.0,0.0,0.0,290.33,8,2233.89,279.23625,8,106.14285714285714,Bronze,109.0,AR,2659.0,10.0,Books,0,0.0,0,0,3
C02411,222,0.0,0.0,0.0,0.0,0.0,0.0,5,1111.49,222.298,5,99.75,Silver,1209.0,HC,1747.0,6.0,Books,1,171.57,3,1,3
C04574,179,0.0,0.0,0.0,0.0,0.0,0.0,3,618.3,206.1,3,292.5,Bronze,210.0,AR,2790.0,5.0,Home & Garden,0,0.0,0,0,6
C03009,21,1.0,1.0,1.0,262.11,262.11,262.11,9,2366.88,262.9866666666667,7,83.625,Bronze,498.0,AR,2108.0,9.0,Sports,0,0.0,0,0,8
C01229,79,0.0,0.0,1.0,0.0,0.0,79.93,15,4771.74,318.116,7,45.57142857142857,Bronze,112.0,AR,2038.0,10.0,Automotive,0,0.0,0,0,1
C01686,456,0.0,0.0,0.0,0.0,0.0,0.0,3,950.97,316.99,3,135.0,Silver,978.0,NR,1450.0,7.0,Jewelry,0,0.0,3,4,7
C04257,14,3.0,4.0,5.0,587.7,898.8600000000001,1338.3700000000001,33,8400.94,254.5739393939394,14,27.875,Silver,567.0,AR,2272.0,11.0,Sports,0,16.31,3,0,8
C00087,171,0.0,0.0,0.0,0.0,0.0,0.0,7,1823.0,260.42857142857144,5,114.66666666666667,Silver,1045.0,LP,2221.0,10.0,Home & Garden,0,0.0,3,3,6
C04817,13,1.0,1.0,3.0,394.55,394.55,1197.94,11,3006.9900000000002,273.3627272727273,5,83.0,Silver,1952.0,AR,2673.0,11.0,Books,0,0.0,3,0,3
C01855,11,1.0,2.0,2.0,344.6,664.8,664.8,15,3735.5,249.03333333333333,9,61.07142857142857,Bronze,499.0,LP,1339.0,11.0,Electronics,0,0.0,0,3,4
C02977,13,1.0,2.0,2.0,468.65,777.46,777.46,13,3570.52,274.6553846153846,7,69.33333333333333,Silver,1785.0,NR,1554.0,9.0,Beauty,0,83.4,3,4,2
C00406,138,0.0,0.0,0.0,0.0,0.0,0.0,8,2191.26,273.9075,6,94.28571428571429,Bronze,36.0,NR,1648.0,11.0,Electronics,0,0.0,0,4,4
C03403,50,0.0,1.0,2.0,0.0,311.02,413.28999999999996,37,9987.56,269.93405405405406,14,23.916666666666668,Silver,1970.0,LP,2741.0,11.0,Jewelry,0,0.0,3,3,7
C04664,120,0.0,0.0,0.0,0.0,0.0,0.0,9,1991.27,221.25222222222223,6,97.625,Gold,3188.0,NR,2772.0,10.0,Books,0,0.0,1,4,3
C00615,19,2.0,3.0,3.0,475.87,883.64,883.64,11,2932.3,266.57272727272726,8,68.7,Bronze,0.0,AR,2265.0,11.0,Jewelry,0,492.46,0,0,7
C02874,128,0.0,0.0,0.0,0.0,0.0,0.0,3,1109.5,369.8333333333333,3,151.5,Bronze,122.0,HS,1825.0,8.0,Beauty,0,0.0,0,2,2
C03806,75,0.0,0.0,1.0,0.0,0.0,40.41,13,3447.25,265.1730769230769,10,70.08333333333333,Bronze,353.0,LP,2638.0,11.0,Grocery,0,0.0,0,3,5
C02006,20,1.0,2.0,2.0,421.12,571.89,571.89,10,3185.38,318.538,7,100.88888888888889,Platinum,16419.0,HS,1948.0,9.0,Beauty,0,0.0,2,2,2
C04405,11,1.0,2.0,4.0,484.45,524.58,1009.87,18,4488.48,249.35999999999999,10,44.294117647058826,Bronze,98.0,AR,2406.0,11.0,Automotive,1,277.49,0,0,1
C04502,119,0.0,0.0,0.0,0.0,0.0,0.0,4,645.68,161.42,4,213.66666666666666,Silver,1233.0,HC,2291.0,9.0,Sports,0,0.0,3,1,8
C03082,55,0.0,1.0,1.0,0.0,189.3,189.3,12,2634.8500000000004,219.57083333333335,8,79.63636363636364,Bronze,467.0,AR,2104.0,10.0,Electronics,0,0.0,0,0,4
C00648,308,0.0,0.0,0.0,0.0,0.0,0.0,4,734.7,183.675,4,153.0,Silver,1568.0,HC,2219.0,8.0,Sports,0,0.0,3,1,8
C01522,20,1.0,1.0,2.0,166.43,166.43,382.74,15,3880.91,258.7273333333333,11,62.642857142857146,Silver,568.0,NR,2198.0,11.0,Jewelry,0,0.0,3,4,7
C01021,62,0.0,0.0,1.0,0.0,0.0,213.64,6,1353.1100000000001,225.51833333333335,4,160.8,Bronze,203.0,AR,1698.0,8.0,Automotive,0,226.72,0,0,1
C03780,7,1.0,1.0,1.0,395.19,395.19,395.19,16,4235.29,264.705625,11,57.4,Bronze,85.0,NR,2206.0,10.0,Books,0,0.0,0,4,3
C03374,447,0.0,0.0,0.0,0.0,0.0,0.0,1,339.61,339.61,1,132.1,Platinum,5104.0,LP,2737.0,2.0,Beauty,0,0.0,2,3,2
C01472,90,0.0,0.0,0.0,0.0,0.0,0.0,5,1314.68,262.93600000000004,3,193.25,Bronze,467.0,LP,365.0,9.0,Electronics,0,0.0,0,3,4
C03759,379,0.0,0.0,0.0,0.0,0.0,0.0,3,1020.0799999999999,340.02666666666664,2,209.0,Platinum,6436.0,HC,2553.0,9.0,Automotive,0,0.0,2,1,1
C02346,75,0.0,0.0,1.0,0.0,0.0,223.41,3,652.27,217.42333333333332,3,392.0,Bronze,443.0,NR,2680.0,8.0,Automotive,1,0.0,0,4,1
C01121,30,0.0,1.0,2.0,0.0,38.13,535.6700000000001,8,3091.01,386.37625,7,124.85714285714286,Platinum,9389.0,HC,2100.0,10.0,Books,0,0.0,2,1,3
C00216,56,0.0,1.0,1.0,0.0,255.59,255.59,3,762.09,254.03,2,320.0,Bronze,46.0,AR,2689.0,2.0,Automotive,1,0.0,0,0,1
C01613,111,0.0,0.0,0.0,0.0,0.0,0.0,7,1554.15,222.02142857142857,6,118.66666666666667,Silver,1137.0,LP,2432.0,10.0,Electronics,0,0.0,3,3,4
C02315,6,2.0,5.0,5.0,684.45,1147.51,1147.51,25,5779.87,231.1948,12,38.333333333333336,Silver,1038.0,LP,2639.0,11.0,Automotive,0,382.28,3,3,1
C00736,72,0.0,0.0,1.0,0.0,0.0,396.11,9,2185.5,242.83333333333334,7,108.125,Bronze,469.0,HS,1755.0,11.0,Apparel,0,446.28,0,2,0
C04930,66,0.0,0.0,1.0,0.0,0.0,167.55,11,2895.75,263.25,8,82.0,Platinum,11786.0,HS,2804.0,10.0,Toys,0,0.0,2,2,9
C01053,13,1.0,3.0,3.0,333.69,1162.22,1162.22,13,3148.77,242.21307692307693,8,70.5,Silver,0.0,HC,2413.0,10.0,Sports,0,0.0,3,1,8
C01025,170,0.0,0.0,0.0,0.0,0.0,0.0,10,2802.96,280.296,8,72.11111111111111,Gold,4264.0,HS,2518.0,11.0,Apparel,0,492.83000000000004,1,2,0
C03824,157,0.0,0.0,0.0,0.0,0.0,0.0,3,156.87,52.29,3,285.0,Platinum,11077.0,AR,2075.0,5.0,Apparel,0,0.0,2,0,0
C02101,1,1.0,2.0,2.0,396.74,681.5699999999999,681.5699999999999,11,2871.65,261.0590909090909,8,93.0,Bronze,261.0,HS,2707.0,10.0,Books,0,0.0,0,2,3
C02799,4,1.0,1.0,1.0,227.07,227.07,227.07,21,5393.13,256.8157142857143,13,42.25,Gold,3322.0,AR,2008.0,11.0,Apparel,0,349.25,1,0,0
C00115,119,0.0,0.0,0.0,0.0,0.0,0.0,8,1605.8899999999999,200.73624999999998,6,90.14285714285714,Silver,728.0,LP,2243.0,8.0,Toys,0,422.82,3,3,9
C00185,652,0.0,0.0,0.0,0.0,0.0,0.0,1,434.22,434.22,1,132.1,Gold,2774.0,AR,2100.0,5.0,Electronics,0,409.23,1,0,4
C04063,179,0.0,0.0,0.0,0.0,0.0,0.0,7,1836.13,262.30428571428575,6,73.83333333333333,Silver,1878.0,LP,2342.0,10.0,Electronics,0,0.0,3,3,4
C04439,1,1.0,1.0,1.0,234.34,234.34,234.34,11,2420.0,220.0,7,93.5,Bronze,206.0,NR,2568.0,10.0,Electronics,0,0.0,0,4,4
C02668,232,0.0,0.0,0.0,0.0,0.0,0.0,6,1984.38,330.73,5,103.6,Gold,4280.0,HC,2607.0,10.0,Apparel,0,0.0,1,1,0
C04575,60,0.0,0.0,1.0,0.0,0.0,394.47,7,1671.04,238.72,6,139.5,Silver,1870.0,AR,2259.0,8.0,Automotive,0,0.0,3,0,1
C01907,118,0.0,0.0,0.0,0.0,0.0,0.0,17,5091.14,299.4788235294118,11,47.875,Bronze,473.0,AR,2408.0,11.0,Electronics,0,0.0,0,0,4
C04135,112,0.0,0.0,0.0,0.0,0.0,0.0,5,1182.55,236.51,4,113.0,Silver,1718.0,LP,1933.0,7.0,Apparel,0,0.0,3,3,0
C04676,126,0.0,0.0,0.0,0.0,0.0,0.0,13,3573.52,274.88615384615383,9,60.583333333333336,Bronze,261.0,AR,1800.0,10.0,Electronics,0,0.0,0,0,4
C03732,196,0.0,0.0,0.0,0.0,0.0,0.0,21,6366.85,303.18333333333334,11,31.75,Bronze,395.0,NR,2418.0,11.0,Home & Garden,0,258.83,0,4,6
C03375,4,1.0,1.0,2.0,427.31,427.31,499.8,8,2504.04,313.005,7,125.42857142857143,Bronze,88.0,NR,2111.0,10.0,Jewelry,0,0.0,0,4,7
